[it 0069] step=70656 | EpRew=-0.8 EpCost=24.0 | Vr=0.008 Vc=1.562 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=3.9m
[it 0070] step=71680 | EpRew=1.6 EpCost=141.0 | Vr=0.014 Vc=14.961 | PiLoss=0.031 Track=0.031 MeanRatio=1.000 LB%=0.0% | time=4.0m
[it 0071] step=72704 | EpRew=-0.9 EpCost=0.0 | Vr=0.005 Vc=0.007 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=4.0m
[it 0072] step=73728 | EpRew=-0.5 EpCost=0.0 | Vr=0.009 Vc=0.009 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=4.1m
[it 0073] step=74752 | EpRew=3.2 EpCost=0.0 | Vr=0.013 Vc=0.008 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=4.2m
[it 0074] step=75776 | EpRew=-0.4 EpCost=0.0 | Vr=0.009 Vc=0.008 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=4.2m
[it 0075] step=76800 | EpRew=1.8 EpCost=0.0 | Vr=0.009 Vc=0.006 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=4.3m
[it 0076] step=77824 | EpRew=0.2 EpCost=0.0 | Vr=0.008 Vc=0.007 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=4.3m
[it 0077] step=78848 | EpRew=-1.2 EpCost=0.0 | Vr=0.007 Vc=0.006 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=4.4m
[it 0078] step=79872 | EpRew=-1.2 EpCost=0.0 | Vr=0.007 Vc=0.007 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=4.4m
[it 0079] step=80896 | EpRew=-0.8 EpCost=167.0 | Vr=0.016 Vc=20.723 | PiLoss=0.030 Track=0.030 MeanRatio=1.000 LB%=0.0% | time=4.5m
[it 0080] step=81920 | EpRew=-0.8 EpCost=0.0 | Vr=0.008 Vc=0.007 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=4.5m
[it 0081] step=82944 | EpRew=0.4 EpCost=0.0 | Vr=0.013 Vc=0.005 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=4.6m
